File,Text,Acoustic_Annotation,Semantic_Analysis
Ses02F_impro03_M004, That is great.  You look radiant.  I should've guess.,hap,positive
Ses02F_impro03_M010, No. I'm just as happy as you are.  This is--,hap,positive
Ses02F_impro03_M011," So, I mean--it's good though.",hap,positive
Ses02F_impro03_F017," Yeah, yeah, I called them. I called them And, of course, they were so excited 'cause they love him. Like they always have.  Um--",hap,positive
Ses02F_impro03_M019, Okay.  All right.  So-[LAUGHTER]-quite a while.  I mean--That's-  That's good.  I'm so happy for you. [LAUGHTER],hap,positive
Ses02F_impro03_F023, Thank you. Thank you so much.,hap,positive
Ses02F_impro03_M021, You guys are awesome together.  It's definitely a--definitely a good couple.  I can see it. I should've guessed--,hap,positive
Ses02F_impro03_M022," Oh, I approve. I-[LAUGHTER]-I more than approve.",hap,positive
Ses02F_impro03_F026," Yeah, it's pretty good.",hap,positive
Ses02F_impro03_M026," It'll be good.  Wow, that's great.",hap,positive
Ses05M_impro07_F008, That's awesome.,hap,positive
Ses05M_impro07_F031," There's actually, a friend of mine is um- moving out of her place and her place is amazing-- And it's really cheap.",hap,positive
Ses05M_impro07_F035," You've got a lot- oh, awesome.",hap,positive
Ses05M_impro07_F039, good for you.,hap,positive
Ses05M_impro07_M046, We'll have fun.,hap,positive
Ses02M_script03_1_F003, Now and always sweet.,hap,positive
Ses02M_script03_1_F006, Behave exquisitely.,hap,positive
Ses02M_script03_1_M007, With the most perfect poise.,hap,positive
Ses02M_script03_1_F022," Oh Charles, that was his name Charles. It did wiggle so beautifully.",hap,positive
Ses05M_impro08_F025," Yeah, accountability.  It's awesome.",hap,positive
Ses02F_impro07_M018, That'll be awesome.,hap,positive
Ses02M_script01_3_F002," You know, it's lovely here, the air is sweet.",hap,positive
Ses05F_script01_3_F001," No, it's good.",hap,positive
Ses05F_script01_3_F002, It's so lovely here.  The air is sweet.,hap,positive
Ses05F_script01_3_M008," Anne, I love you.  I love you a great deal.  I love you!",hap,positive
Ses04F_script01_3_M009," Ann, I love you.  I love you a great deal.  I love you.",hap,positive
Ses04F_script01_3_M020," Annie, we're going to live now.  I'm going to make you so happy.",hap,positive
Ses03F_script03_1_F021, Oh Charles. That was his name. Charles. He did wiggle so beautifully.,hap,positive
Ses04M_impro08_F022," Oh, my God, thank you so much.",hap,positive
Ses04M_impro08_F023," I really appreciate this. I know it's not policy or whatever but, seriously",hap,positive
Ses01M_script03_1_F003, Now and always sweet.,hap,positive
Ses01M_script03_1_M010, With perfect poise...,hap,positive
Ses01M_script03_1_M021, We are figures of fun all right,hap,positive
Ses05F_impro03_F035, Thank you.,hap,positive
Ses05F_impro03_F049, L.A. apartment is fine.,hap,positive
Ses05F_impro03_M062," Oh thanks, you're too nice",hap,positive
Ses05F_impro03_M068," That'd be great, thanks.",hap,positive
Ses01F_script03_1_M009, With perfect poise.,hap,positive
Ses03F_impro07_F017, Yeah. It's really cool.,hap,positive
Ses03F_impro07_F019, Top five in the nation.,hap,positive
Ses03F_impro07_F024," There's so much culture here, you know? It's just like-- --all great restaurants and-",hap,positive
Ses03F_impro07_F035," [LAUGHTER]. Oh, Joe, I'm so happy.",hap,positive
